rank,name,range
1,앤트맨과 와스프,"0, na"
2,마녀,"0, na"
3,변산,"0, na"
4,스카이스크래퍼,"1, up"
5,탐정: 리턴즈,"1, down"
6,신과함께-인과 연,"0, na"
7,인랑,"0, na"
8,허스토리,"0, na"
9,미드나잇 선,"0, na"
10,시카리오: 데이 오브 솔다도,"0, na"
11,쥬라기 월드: 폴른 킹덤,"0, na"
12,독전,"0, na"
13,속닥속닥,"4, up"
14,킬링 디어,"0, na"
15,오션스8,"2, down"
16,"오늘 밤, 로맨스 극장에서","2, up"
17,아일라,"2, down"
18,인크레더블 2,"3, up"
19,아이 필 프리티,"4, up"
20,공작,"4, up"
21,서버비콘,"7, up"
22,오 루시!,"6, down"
23,더 펜션,"3, down"
24,여중생A,"5, down"
25,개들의 섬,"3, down"
26,어벤져스: 인피니티 워,"1, down"
27,빅샤크: 매직체인지,"1, down"
28,식구,"1, down"
29,몬몬몬 몬스터,"1, up"
30,미션 임파서블: 폴아웃,"3, up"
31,퓨처 월드,"2, down"
32,게이트,"0, na"
33,잉글랜드 이즈 마인,"2, down"
34,하우스 오브 데스,"6, up"
35,목격자,"7, up"
36,버닝,"0, na"
37,나와 봄날의 약속,"8, up"
38,레디 플레이어 원,"3, up"
39,램페이지,"1, down"
40,피라냐 3DD,"13, up"
41,어린 여배우,"5, down"
42,이별의 아침에 약속의 꽃을 장식하자,"9, up"
44,트루스 오어 데어,"1, up"
45,연애 : 엄마친구,"9, down"
46,앤트맨,"6, down"
47,착한 장모,"12, down"
48,선녀는 몸으로 운다-감독판,"3, down"
49,바르다가 사랑한 얼굴들,"2, down"
50,신과함께-죄와 벌,"5, up"
