rank,name,range
1,신과함께-인과 연,0 na
2,미션 임파서블: 폴아웃,0 na
3,인랑,0 na
4,인크레더블 2,0 na
5,공작,1 up
6,마녀,1 down
7,어느 가족,0 na
8,변산,0 na
9,신비아파트: 금빛 도깨비와 비밀의 동굴,0 na
10,앤트맨과 와스프,0 na
11,극장판 헬로카봇 : 백악기 시대,1 up
12,어벤져스: 인피니티 워,1 up
13,신은 죽지 않았다 3: 어둠 속의 빛,2 down
14,맘마미아!2,0 na
15,아이 엠 러브,1 up
16,안시성,1 down
17,신과함께-죄와 벌,1 up
18,독전,1 down
19,더 스퀘어,0 na
20,주피터스 문,1 up
21,룸싸롱 맛있는 서비스,5 up
22,상류사회,1 up
23,킬링 디어,1 down
24,목격자,3 up
25,쥬라기 월드: 폴른 킹덤,5 down
26,이별의 아침에 약속의 꽃을 장식하자,1 down
27,미션 임파서블: 로그네이션,3 down
28,노인을 위한 나라는 없다,0 na
29,명탐정 코난 : 제로의 집행인,1 up
30,메가로돈,7 up
31,리얼,35 up
32,아일라,1 up
33,레온,3 up
34,미션 임파서블 : 고스트 프로토콜,2 down
35,스카이스크래퍼,6 down
36,미드나잇 선,4 down
37,명당,2 down
38,데드풀 2,4 down
39,그루지:죽은 자의 저주,3 up
40,베놈,1 up
41,너의 결혼식,3 up
42,속닥속닥,4 down
43,몬스터 호텔 3,5 up
44,행복의 나라,8 up
45,미션 임파서블 3,5 down
46,탐정: 리턴즈,3 down
47,허스토리,0 na
48,논스톱: 다마스커스 타겟,3 down
49,어벤져스 4,7 up
50,미션 임파서블,4 down
